NUTS2024,NUTS2021,NUTS2016,NUTS2013,NUTS2010,NUTS2006,NUTS2003,NUTS1999
AT,AT,AT,AT,AT,AT,AT,AT
BE,BE,BE,BE,BE,BE,BE,BE
BG,BG,BG,BG,BG,BG,BG,NA
CY,CY,CY,CY,CY,CY,CY,NA
CZ,CZ,CZ,CZ,CZ,CZ,CZ,NA
DE,DE,DE,DE,DE,DE,DE,DE
DK,DK,DK,DK,DK,DK,DK,DK
DK,DK,DK,DK,DK,DK,DK,DK
DK,DK,DK,DK,DK,DK,DK,DK
EE,EE,EE,EE,EE,EE,EE,NA
EL,EL,EL,EL,EL,GR,GR,GR
ES,ES,ES,ES,ES,ES,ES,ES
FI,FI,FI,FI,FI,FI,FI,FI
FR,FR,FR,FR,FR,FR,FR,FR
HR,HR,HR,HR,HR,NA,NA,NA
HU,HU,HU,HU,HU,HU,HU,NA
IE,IE,IE,IE,IE,IE,IE,IE
IE,IE,IE,IE,IE,IE,IE,IE
IT,IT,IT,IT,IT,IT,IT,IT
LT,LT,LT,LT,LT,LT,LT,NA
LU,LU,LU,LU,LU,LU,LU,LU
LU,LU,LU,LU,LU,LU,LU,LU
LU,LU,LU,LU,LU,LU,LU,LU
LU,LU,LU,LU,LU,LU,LU,LU
LV,LV,LV,LV,LV,LV,LV,NA
MT,MT,MT,MT,MT,MT,MT,NA
NL,NL,NL,NL,NL,NL,NL,NL
PL,PL,PL,PL,PL,PL,PL,NA
PT,PT,PT,PT,PT,PT,PT,PT
RO,RO,RO,RO,RO,RO,RO,NA
SE,SE,SE,SE,SE,SE,SE,SE
SE,SE,SE,SE,SE,SE,SE,SE
SI,SI,SI,SI,SI,SI,SI,NA
SK,SK,SK,SK,SK,SK,SK,NA
AT1,AT1,AT1,AT1,AT1,AT1,AT1,AT1
AT2,AT2,AT2,AT2,AT2,AT2,AT2,AT2
AT3,AT3,AT3,AT3,AT3,AT3,AT3,AT3
ATZ,ATZ,ATZ,ATZ,ATZ,ATZ,ATZ,NA
BE1,BE1,BE1,BE1,BE1,BE1,BE1,BE1
BE1,BE1,BE1,BE1,BE1,BE1,BE1,BE1
BE1,BE1,BE1,BE1,BE1,BE1,BE1,BE1
BE2,BE2,BE2,BE2,BE2,BE2,BE2,BE2
BE3,BE3,BE3,BE3,BE3,BE3,BE3,BE3
BEZ,BEZ,BEZ,BEZ,BEZ,BEZ,BEZ,NA
BG3,BG3,BG3,BG3,BG3,BG3,NA,NA
BG4,BG4,BG4,BG4,BG4,BG4,NA,NA
BGZ,BGZ,BGZ,BGZ,BGZ,BGZ,BGZ,NA
CY0,CY0,CY0,CY0,CY0,CY0,CY0,NA
CYZ,CYZ,CYZ,CYZ,CYZ,CYZ,CYZ,NA
CZ0,CZ0,CZ0,CZ0,CZ0,CZ0,CZ0,NA
CZZ,CZZ,CZZ,CZZ,CZZ,CZZ,CZZ,NA
DE1,DE1,DE1,DE1,DE1,DE1,DE1,DE1
DE2,DE2,DE2,DE2,DE2,DE2,DE2,DE2
DE3,DE3,DE3,DE3,DE3,DE3,DE3,DE3
DE3,DE3,DE3,DE3,DE3,DE3,DE3,DE3
DE4,DE4,DE4,DE4,DE4,DE4,DE4,DE4
DE4,DE4,DE4,DE4,DE4,DE4,DE4,DE4
DE5,DE5,DE5,DE5,DE5,DE5,DE5,DE5
DE5,DE5,DE5,DE5,DE5,DE5,DE5,DE5
DE6,DE6,DE6,DE6,DE6,DE6,DE6,DE6
DE6,DE6,DE6,DE6,DE6,DE6,DE6,DE6
DE6,DE6,DE6,DE6,DE6,DE6,DE6,DE6
DE7,DE7,DE7,DE7,DE7,DE7,DE7,DE7
